feature,f_score,p_value,selected
KCNA1,135.59196807283882,3.0692066416259897e-56,True
GPR26,117.02439241451152,8.664232728653538e-51,True
SLITRK1,94.04143874133356,2.2548408187925e-43,True
ADARB2,89.50411435073008,8.274904664932952e-42,True
PXDN,85.87658860129687,1.567059866336923e-40,True
ADAMTS16,84.40668668934235,5.2428797853323386e-40,True
ADCY8,84.22626881259177,6.084504199100589e-40,True
FAM135B,84.20247467795313,6.205213727376279e-40,True
ZFP3,82.64589040984923,2.25536185215538e-39,True
GALR1,81.94866208862157,4.03424445667072e-39,True
MAGEH1,79.89350146701985,2.2681217963545863e-38,True
TCEAL2,79.5056567046609,3.148598170963707e-38,True
DSCAM,79.2315777054578,3.9715790639861675e-38,True
SLC9A3,78.58460942089651,6.880273710234966e-38,True
SLC6A11,77.6047559153847,1.5872176570339277e-37,True
SNTG1,75.91608642799503,6.774155916507252e-37,True
ALKBH3,75.52941682882421,9.462059867653651e-37,True
DBC1,74.49037999525562,2.3308272347467406e-36,True
FBXL21,74.15225680834031,3.1290060131121985e-36,True
APBB1IP,73.87109833349021,3.998882307144039e-36,True
RYR2,73.75724256886932,4.416990753121856e-36,True
NRK,73.26440830026333,6.798059539124873e-36,True
ZNF75A,73.20838072539658,7.14012686229784e-36,True
MARCH11,73.12742320126567,7.665237574834274e-36,True
TSPAN2,73.01935655914313,8.427275524204742e-36,True
ITGA8,72.9251099922222,9.153878106177952e-36,True
CDH13,72.08785955039869,1.91213969824243e-35,True
ZC4H2,71.62303014542927,2.882581438623096e-35,True
FLJ43390,71.26112177598742,3.970970723195766e-35,True
RAB37,70.62110117227563,7.008304165499833e-35,True
GPR101,70.04206183331019,1.1737983072884332e-34,True
MYT1L,68.94856174231182,3.1231345626464816e-34,True
IGSF9B,68.65431907606778,4.068214042738386e-34,True
VSTM2B,68.50967260922943,4.63356812520045e-34,True
CHL1,67.80626207169695,8.737742748272902e-34,True
TMEFF2,67.767521889183,9.049067208280392e-34,True
CPXM1,67.19082469759213,1.5252622691209526e-33,True
NOL4,67.01704735836135,1.785733710678976e-33,True
OPCML,66.94954815002241,1.8985910515588948e-33,True
GDF10,66.6014795280248,2.605186218135202e-33,True
DRD1,66.59146292110402,2.6290396322648584e-33,True
DCAF12L1,66.41057462141636,3.0997028538829815e-33,True
ANKRD34C,66.07380932637004,4.2138241862109617e-33,True
NUDT11,65.78232108367257,5.499384239297027e-33,True
NPY5R,65.4365758708657,7.546240215029852e-33,True
HS3ST4,64.74829895411554,1.4194247842803738e-32,True
SYT6,64.69226697520084,1.494507647214663e-32,True
NPBWR2,64.5102048630406,1.7672005360091585e-32,True
GRIN3A,64.4208482224911,1.91883950960904e-32,True
GRIK3,64.13422522473056,2.4994639979977586e-32,True
GRIN2B,64.06087700308777,2.674594235431571e-32,True
DOCK2,63.518172090388525,4.418398802206911e-32,True
IL1RAPL2,63.50835745227558,4.458758063550507e-32,True
KCNT2,63.163117424996834,6.141427208878682e-32,True
KHDC1,62.955621759886526,7.446986002174624e-32,True
NEFL,62.86102773086719,8.131622993411073e-32,True
C3orf67,62.85936524909069,8.14420561728563e-32,True
PRMT8,62.165577917427136,1.5547282684571354e-31,True
NPBWR1,62.01652789054836,1.7870320388587213e-31,True
FRMPD4,61.873909630112465,2.041975832461867e-31,True
TMEM132C,61.580720231226294,2.6870218245264728e-31,True
IRF8,61.566584704813266,2.7228544575010615e-31,True
HTR1B,61.47600175701437,2.9641738008719405e-31,True
SRRM4,61.38261342147952,3.2355335259837475e-31,True
ZNF582,61.302801267425764,3.4871818714901788e-31,True
GABBR2,61.27235747016722,3.588281646368267e-31,True
EGFLAM,61.15641184715978,4.001088493169571e-31,True
TRIM67,60.95844470148892,4.819480444744604e-31,True
NPTX2,60.955491658634514,4.832886046963648e-31,True
SLC32A1,60.849054310863906,5.341963996176525e-31,True
GJD2,60.53318210903363,7.1935228867242575e-31,True
FOXE1,60.44741619107383,7.799654854218741e-31,True
APCDD1L,60.26889958842445,9.231284185381264e-31,True
NRG1,60.20608243578098,9.795666918041373e-31,True
KCNA3,60.122612884022494,1.0599709328766363e-30,True
TCEAL6,59.83619679262006,1.389900270963036e-30,True
NXPH2,59.78944359436416,1.4528272715498078e-30,True
VENTX,59.76664817145774,1.4845405658388253e-30,True
TSPAN6,59.70534525264638,1.5733255734492272e-30,True
NOVA2,59.67308149705037,1.6221801236923814e-30,True
GUCY1A2,59.603111607733354,1.7334410969862964e-30,True
NLRP5,59.49933569533846,1.9127624845824557e-30,True
POU4F3,59.438771044051585,2.0259273313382612e-30,True
HDX,59.101788160690205,2.7905129970214415e-30,True
DCC,59.067124429494974,2.8840614982887268e-30,True
NKAIN3,58.87630225100851,3.45853134033321e-30,True
TEKT1,58.394007146799495,5.47875918124039e-30,True
SERP2,58.28604099932534,6.07417293296008e-30,True
NCAM2,57.81243194684115,9.558236679917112e-30,True
NPAS4,57.46242545520824,1.337361082559907e-29,True
CCDC39,57.42614807717291,1.3847955625455766e-29,True
CXCL6,57.14276731198195,1.8186266150769072e-29,True
CNTN4,57.087636612292876,1.9177563721394034e-29,True
GALR2,56.8665789969421,2.3729829960189887e-29,True
BDNF,56.677900578951835,2.846726670263469e-29,True
C2orf43,56.66331561657355,2.887089690577729e-29,True
NAALAD2,56.655269579743994,2.909602614662934e-29,True
IRX6,56.464367504432396,3.498811677160931e-29,True
EPB41L3,56.38148252239559,3.7907182469730784e-29,True
P4HA3,56.32671659518681,3.9969231375865295e-29,True
SOX11,56.32134954173213,4.017728908465152e-29,True
KCNK9,56.22026469971883,4.430602309390581e-29,True
FGF10,56.196910126820256,4.531912986579471e-29,True
HIC1,56.037494506407754,5.288605072663044e-29,True
SSTR1,55.975020517286396,5.618744515815008e-29,True
KCND2,55.56982567043207,8.326256885767226e-29,True
C5orf52,55.47605478243534,9.12094494458418e-29,True
BHLHE23,55.37722582834323,1.0041304908837576e-28,True
CDH8,55.14832844553206,1.25483244568351e-28,True
CHRNB4,55.11406859868599,1.2974338840925437e-28,True
KAL1,55.09770364098129,1.3182941271303858e-28,True
WIF1,54.92275733729202,1.5635388922579297e-28,True
UTF1,54.512404163439996,2.3346607985394173e-28,True
MIR124-3,54.25127452885154,3.0147637935043975e-28,True
CXCL1,54.19140012537163,3.196955631223951e-28,True
KIAA1239,54.14722912291563,3.3384312116097665e-28,True
