feature,f_score,p_value,selected
hsa-mir-934,34.193704762437996,3.908120300325155e-19,True
hsa-mir-516a,33.99266319082601,4.893964812979621e-19,True
hsa-mir-4728,27.12581872757997,1.2910868127914159e-15,True
hsa-mir-937,26.797831439825924,1.8993137443816737e-15,True
hsa-mir-519a,26.501946874283238,2.6925863002156735e-15,True
hsa-mir-935,24.499933452317215,2.912695824398181e-14,True
hsa-mir-522,23.47332527882234,1.0009865297634607e-13,True
hsa-mir-18a,23.470240305656205,1.004720706817513e-13,True
hsa-mir-375,23.312067158289782,1.2162059831084924e-13,True
hsa-mir-652,22.819971524026602,2.2065928558465136e-13,True
hsa-mir-1283,22.660068773430247,2.6791020614522825e-13,False
hsa-mir-296,22.327978734329903,4.011536832382956e-13,False
hsa-mir-34a,22.24939797741223,4.4142634986306685e-13,False
hsa-mir-195,22.093788638881637,5.335838659383982e-13,False
hsa-mir-760,21.882293514499644,6.906692302886171e-13,False
hsa-mir-190b,21.18420360387726,1.6233146342489869e-12,False
hsa-mir-3131,20.020527584857785,6.811902856872672e-12,False
hsa-mir-92a,18.82485147110796,3.0114645173064905e-11,False
hsa-mir-34c,17.97630906873511,8.71542956321279e-11,False
hsa-mir-17,17.845940253652177,1.026705947480624e-10,False
hsa-mir-34b,17.758660199097434,1.1458355920392197e-10,False
hsa-mir-1226,17.72005571670763,1.2028718672851673e-10,False
hsa-mir-3127,17.50845883797535,1.5702177150109553e-10,False
hsa-mir-1266,17.41695473033919,1.7622439453071174e-10,False
hsa-mir-196b,17.335718900845126,1.9524374006376537e-10,False
hsa-mir-497,17.304088190630615,2.0319611367231204e-10,False
hsa-mir-361,17.024135129008684,2.894295635469538e-10,False
hsa-mir-598,16.86363089736114,3.5461809516787786e-10,False
hsa-mir-20a,16.722679430713853,4.239512317532817e-10,False
hsa-mir-3200,16.608000200574683,4.903126264411869e-10,False
hsa-mir-421,16.43079958359845,6.139946058771015e-10,False
hsa-mir-6511b,16.420539418507598,6.220493216114438e-10,False
hsa-mir-301a,16.23310818121237,7.894029548585908e-10,False
hsa-mir-130a,16.021833247343462,1.0330035619213654e-09,False
hsa-mir-3074,15.937402920109967,1.1503451405405014e-09,False
hsa-mir-628,15.259349192049752,2.7359000014634244e-09,False
hsa-mir-338,15.240616071435314,2.802343720282679e-09,False
hsa-mir-224,14.821640376389313,4.796842374382203e-09,False
hsa-mir-548v,14.779024158852339,5.0668460701011164e-09,False
hsa-mir-520b,14.741990688286977,5.3138616532511914e-09,False
hsa-mir-4661,14.680950973045775,5.747712473732187e-09,False
hsa-mir-1229,14.437141352146936,7.866545334073142e-09,False
hsa-mir-4758,14.174531302048168,1.103674802576701e-08,False
hsa-mir-942,14.172729849002105,1.1062437614908722e-08,False
hsa-let-7a,14.097912303400992,1.2184195902050885e-08,False
hsa-mir-221,13.844994516015126,1.68948456473586e-08,False
hsa-mir-335,13.842993339006432,1.693863586595658e-08,False
hsa-mir-449a,13.840809905146036,1.6986544448401066e-08,False
hsa-mir-30c,13.704460687874178,2.026467419720102e-08,False
hsa-mir-203b,13.666100633227057,2.1296717333189335e-08,False
hsa-mir-4787,13.618064203693821,2.2663945688124024e-08,False
hsa-mir-449b,13.524183001539352,2.5596107311340592e-08,False
hsa-mir-3620,13.383820926075984,3.070689245464971e-08,False
hsa-mir-149,13.25039743734761,3.6514002290792465e-08,False
hsa-mir-145,13.245613638985807,3.674157643159218e-08,False
hsa-mir-551b,13.045042322440738,4.768376095993052e-08,False
hsa-mir-877,13.006737125550208,5.011980011751825e-08,False
hsa-mir-3187,12.950869865881804,5.3898795619896684e-08,False
hsa-mir-3170,12.916097859220542,5.639416455877211e-08,False
hsa-mir-148a,12.839865859611725,6.22788868372074e-08,False
hsa-mir-1301,12.718704073729192,7.292879762341475e-08,False
hsa-mir-9,12.595423608396715,8.56471539416477e-08,False
hsa-mir-106b,12.501617430499504,9.679964989452592e-08,False
hsa-mir-483,12.489137835390505,9.838946079652945e-08,False
hsa-mir-449c,12.484455400571216,9.899271723401553e-08,False
hsa-mir-330,12.467659495553082,1.011873472050281e-07,False
hsa-mir-30a,12.391990427192294,1.1169719347454307e-07,False
hsa-mir-128,12.33550018610197,1.2025272089084427e-07,False
hsa-mir-103a,12.24309384603098,1.3569132344584768e-07,False
hsa-mir-452,11.999979050704335,1.8651546646210893e-07,False
hsa-mir-197,11.765122831571228,2.537414775327142e-07,False
hsa-mir-6514,11.679918768447019,2.837516075535142e-07,False
hsa-mir-6744,11.650235251198414,2.950240254251642e-07,False
hsa-mir-196a,11.632040893135654,3.021547444692225e-07,False
hsa-mir-615,11.614219332797033,3.0930725000770465e-07,False
hsa-mir-30d,11.37203131976562,4.2519091551550954e-07,False
hsa-mir-4652,11.277617253971922,4.814093559389713e-07,False
hsa-mir-3691,11.229438821797078,5.129168899136969e-07,False
hsa-let-7b,11.039243941173888,6.588982410727915e-07,False
hsa-mir-624,10.965687745718972,7.259707884901549e-07,False
hsa-mir-146a,10.924619538408935,7.663609267458539e-07,False
hsa-mir-15b,10.859774119454503,8.347830895408658e-07,False
hsa-mir-146b,10.625698438593666,1.1370069588587967e-06,False
hsa-mir-4746,10.624668193864895,1.1385553706906077e-06,False
hsa-mir-6783,10.413880345206445,1.5043760232900422e-06,False
hsa-mir-499a,10.266604183587258,1.8280583393378627e-06,False
hsa-mir-548b,10.25200339236695,1.8637366270923751e-06,False
hsa-mir-31,10.23681590781975,1.9015909525014233e-06,False
hsa-mir-185,10.222416936229711,1.9381929085394965e-06,False
hsa-mir-107,10.084213605823258,2.3275767590188783e-06,False
hsa-mir-132,10.067274185922441,2.3804194249931816e-06,False
hsa-mir-324,10.012259637944537,2.560493380798986e-06,False
hsa-mir-1468,9.975367662944844,2.6888516683003585e-06,False
hsa-mir-25,9.97155144670383,2.7024928928033942e-06,False
hsa-mir-561,9.890788064142248,3.0080602519322376e-06,False
hsa-mir-676,9.81755928848963,3.3150253451059494e-06,False
hsa-mir-378c,9.814540384476128,3.328334485320827e-06,False
hsa-mir-3940,9.749739006268968,3.6273207075978636e-06,False
hsa-mir-138,9.72948286423553,3.7262048474549976e-06,False
hsa-mir-3944,9.719094898834209,3.7779612213684135e-06,False
hsa-mir-7,9.68537120814559,3.951012878963678e-06,False
hsa-mir-3188,9.660173595949644,4.085490122500076e-06,False
hsa-mir-184,9.642196112149326,4.184234957322604e-06,False
hsa-let-7g,9.628900497336152,4.258802294636174e-06,False
hsa-mir-1247,9.534120790870208,4.830483818333358e-06,False
hsa-mir-155,9.532983592267323,4.8377915528707706e-06,False
hsa-mir-301b,9.509495568540869,4.991235082186223e-06,False
hsa-mir-205,9.388199366320393,5.864978244877316e-06,False
hsa-mir-142,9.31415344983701,6.47226889963073e-06,False
hsa-mir-570,9.292413056267527,6.6622859421629155e-06,False
hsa-mir-210,9.22631692223928,7.275085953349858e-06,False
hsa-mir-1910,9.165925004345764,7.884364549014014e-06,False
hsa-mir-3130,9.102911985073495,8.574781406198185e-06,False
hsa-mir-511,9.089901615469852,8.724724887177154e-06,False
hsa-mir-1262,9.073908992630622,8.912650148309235e-06,False
hsa-mir-708,9.042055138419599,9.299152081361304e-06,False
hsa-mir-641,8.951409912563276,1.0493586209046695e-05,False
hsa-mir-151a,8.929616755563625,1.0803017824298698e-05,False
hsa-mir-1269b,8.605484388585833,1.6650391048723393e-05,False
hsa-mir-4423,8.48188266259054,1.9640265997434486e-05,False
hsa-mir-3176,8.457477028250906,2.029150876495843e-05,False
hsa-mir-326,8.288935347433673,2.5421057428238823e-05,False
hsa-mir-490,8.257214563482567,2.652306658697784e-05,False
hsa-mir-589,8.25309387692191,2.6669697845075368e-05,False
hsa-mir-636,8.225010360160253,2.7690924345774328e-05,False
hsa-mir-10a,8.177254586946823,2.9518421414876364e-05,False
hsa-mir-95,8.108590812491489,3.2360179818872515e-05,False
hsa-mir-3934,8.085904875783292,3.335816082054961e-05,False
hsa-mir-6509,8.034639229402622,3.572862597197743e-05,False
hsa-mir-1294,7.982172579971498,3.832973821758887e-05,False
hsa-mir-600,7.972382206184898,3.883574290267012e-05,False
hsa-mir-27a,7.957485084736232,3.961857043080309e-05,False
hsa-mir-7974,7.949601714143093,4.00392181554858e-05,False
hsa-mir-3158,7.929412214715786,4.1137051539380195e-05,False
hsa-mir-3065,7.907043371331418,4.2388689413548596e-05,False
