feature,f_score,p_value,selected
ENSG00000076242.16,121.49306139453785,3.8492120914861985e-52,True
ENSG00000178567.8,103.40541247196629,1.7122719514299831e-46,True
ENSG00000229689.3,96.09965021314028,4.519179180769874e-44,True
ENSG00000273305.1,92.94331259392297,5.3518603747534814e-43,True
ENSG00000147889.18,89.53672406912843,8.060992737423907e-42,True
ENSG00000183837.9,84.8762300610899,3.5611453796923955e-40,True
ENSG00000124440.16,79.82964653050296,2.3938617752739833e-38,True
ENSG00000162639.16,77.46583804366163,1.787564712155684e-37,True
ENSG00000101282.9,75.84472911080476,7.20468204517486e-37,True
ENSG00000198910.14,73.42306621437723,5.916226256550501e-36,True
ENSG00000286086.1,70.08775353741764,1.1269185761801771e-34,False
ENSG00000186603.6,69.39083254859807,2.1007762649158365e-34,False
ENSG00000183486.13,69.35098995557944,2.177087396333229e-34,False
ENSG00000124762.14,68.30586865629166,5.566971277751276e-34,False
ENSG00000272913.1,66.9002950908423,1.9854470572140066e-33,False
ENSG00000204175.5,66.80756924834694,2.159967253816968e-33,False
ENSG00000224854.3,65.70445357321341,5.905251769058405e-33,False
ENSG00000187566.6,62.903877392697964,7.813975851569058e-32,False
ENSG00000196218.13,62.70602189564,9.393213109667939e-32,False
ENSG00000250486.5,59.60526059482004,1.7299122155664603e-30,False
ENSG00000197935.7,59.44668652751285,2.0107627724179467e-30,False
ENSG00000185088.14,58.990727754738245,3.1015337348808504e-30,False
ENSG00000184719.12,58.86034044022473,3.511515274705062e-30,False
ENSG00000240086.7,58.83574429793613,3.594763958562903e-30,False
ENSG00000165548.11,58.37172838896554,5.5966131123501804e-30,False
ENSG00000116544.12,57.08847246976254,1.9162135566511048e-29,False
ENSG00000132164.10,56.94319673434,2.2040422134051828e-29,False
ENSG00000205002.4,56.84740198822695,2.4172696970563504e-29,False
ENSG00000235997.3,56.34962535105257,3.909327826798476e-29,False
ENSG00000215146.5,56.088099225667854,5.035547597646127e-29,False
ENSG00000141934.10,55.087675548983455,1.33124328174109e-28,False
ENSG00000138646.9,54.869666212102885,1.646685432221253e-28,False
ENSG00000087586.18,54.85344496866773,1.6729666053678105e-28,False
ENSG00000172081.14,54.28147971800549,2.926854730767488e-28,False
ENSG00000127663.15,53.94472725227765,4.072150292782626e-28,False
ENSG00000267892.1,53.860501402025946,4.423260223259663e-28,False
ENSG00000255624.3,53.31958887857412,7.531265311620857e-28,False
ENSG00000154277.13,53.06905880785491,9.642308331141172e-28,False
ENSG00000284719.1,52.665255951889584,1.4371490455993287e-27,False
ENSG00000236431.1,52.65023163765591,1.4586766333729116e-27,False
ENSG00000237438.7,52.22736048908902,2.2179523121243507e-27,False
ENSG00000166961.15,52.017813657116086,2.730958783851461e-27,False
ENSG00000151025.11,51.70184710826358,3.7393396028888026e-27,False
ENSG00000184908.18,51.69696433327974,3.7575617336280624e-27,False
ENSG00000128011.5,50.797362656100766,9.225470961485091e-27,False
ENSG00000067445.21,50.29830903376095,1.5217606019586898e-26,False
ENSG00000181690.8,50.23794862229385,1.6168972036279233e-26,False
ENSG00000185798.8,50.2187764381269,1.6483506750746384e-26,False
ENSG00000159714.12,49.2561783072367,4.3497694698075137e-26,False
ENSG00000142945.13,49.03710192782517,5.42922770088807e-26,False
ENSG00000108370.17,49.007932049904895,5.59199490694424e-26,False
ENSG00000006047.13,48.85976397408079,6.49781087621065e-26,False
ENSG00000163900.11,48.80920009260079,6.83961261039219e-26,False
ENSG00000269416.6,48.72858079245153,7.422410285217546e-26,False
ENSG00000107281.10,48.571966370029656,8.701364597851139e-26,False
ENSG00000187650.4,48.55744646591496,8.830633943853553e-26,False
ENSG00000178965.14,48.2256652202784,1.2373670020548814e-25,False
ENSG00000183150.8,48.05954394304871,1.4654505498631906e-25,False
ENSG00000255085.8,47.952804045721315,1.6338865127719162e-25,False
ENSG00000256417.1,47.72151198934985,2.0688063729794054e-25,False
