feature,f_score,p_value,selected
TSPAN2,157.21307330067714,1.310561516014369e-29,True
FAM110B,137.91512239828305,1.0114297708102323e-26,True
C3orf63,134.74634082485616,3.096905194675015e-26,True
CPXM1,134.1551868802872,3.8192325468235174e-26,True
ZNF582,133.32074588561025,5.1369060787482916e-26,True
CHL1,131.90007654644623,8.519645147977945e-26,True
SERP2,128.93746505674463,2.459824272166373e-25,True
HIC1,127.12895483329218,4.715609969811429e-25,True
C13orf33,124.62289705567386,1.167159560826343e-24,True
ARHGAP20,124.58042411434849,1.1852787467178722e-24,True
NHLRC1,122.54477694971277,2.4845324965168448e-24,False
TMEFF2,121.65310935064281,3.439664008393003e-24,False
GALR1,115.27091785876823,3.600234579309416e-23,False
NPBWR1,114.93364065685851,4.079926970856209e-23,False
GRIN2B,113.20795375817795,7.749467320765348e-23,False
VENTX,112.72342156854451,9.283411535430591e-23,False
ZFP3,111.83764391650601,1.2922049738676342e-22,False
TEKT1,111.43802183753267,1.5004705766143767e-22,False
ZNF75A,110.30220451194494,2.2962366434915817e-22,False
C3orf67,109.61258975833886,2.9748018876191375e-22,False
VSTM2B,108.50675937254631,4.50976012122491e-22,False
C8orf42,108.44151256883251,4.622000573366229e-22,False
EGFLAM,105.70572740273613,1.300220616946417e-21,False
ZNF285A,104.7107737918979,1.8972293931099623e-21,False
HBM,104.19533237963128,2.308293473594632e-21,False
POU4F3,104.07516619760807,2.416365501226379e-21,False
NPR2,103.19707524104545,3.377131895073194e-21,False
ALKBH3,102.62426866711101,4.202970320200439e-21,False
SLC32A1,102.5113381635565,4.388370254389035e-21,False
SRRM4,102.09602649146103,5.14388823257506e-21,False
C4orf37,101.34330742554184,6.862890327830231e-21,False
TACR3,101.33988752992052,6.871894631508325e-21,False
SLC6A11,100.98979645472741,7.859486363739046e-21,False
C5orf52,99.74161763994356,1.2697698178880594e-20,False
LRFN5,99.69633805564519,1.2920955171281645e-20,False
KCND2,99.58913894951284,1.3465392882208835e-20,False
FOXE1,99.37235074824552,1.4638009738932047e-20,False
GPR150,99.30872006152855,1.5001320335007703e-20,False
EPB41L3,98.5119026657366,2.0398822246567593e-20,False
ACVRL1,98.50798713673679,2.042968357825313e-20,False
KHDC1,98.41936567739495,2.114088610422841e-20,False
ZNF471,98.230578112611,2.274014388532807e-20,False
FAM150A,98.21372092707415,2.2888735786871498e-20,False
