feature,f_score,p_value,selected
hsa-mir-3074,33.53363081585349,1.6731776508851604e-08,True
hsa-mir-708,30.375694902746226,7.334741148813935e-08,True
hsa-mir-375,27.580443530894293,2.753903011721344e-07,True
hsa-mir-210,26.043469437894583,5.735845707507493e-07,True
hsa-mir-153,25.558498863207486,7.237029728404738e-07,True
hsa-mir-10a,25.350053035558055,7.998677610683896e-07,True
hsa-mir-30a,23.08482722462018,2.3866734029358315e-06,True
hsa-let-7b,22.527781194119996,3.128042734785482e-06,True
hsa-mir-33b,22.455814796197775,3.2394541302057476e-06,True
hsa-mir-196b,22.43107191260245,3.278676991875118e-06,True
hsa-mir-34a,21.736475384871273,4.599081231649964e-06,True
hsa-mir-1294,21.554085294138126,5.02738690637581e-06,True
hsa-mir-3619,21.501042095625422,5.159350025774777e-06,True
hsa-let-7a,21.231245948368592,5.8867233867890584e-06,True
hsa-mir-548v,21.09477082720235,6.293259906736178e-06,True
hsa-mir-146a,20.93328776459235,6.811088028534782e-06,True
hsa-mir-1976,19.688816965446364,1.2553674478678683e-05,True
hsa-mir-30d,19.208672972179947,1.5909933045400734e-05,True
hsa-mir-7,19.206730680058907,1.5925207776897745e-05,True
hsa-mir-30c,19.13076343902768,1.6534404927814008e-05,True
hsa-mir-196a,19.08616576119819,1.6902958418996637e-05,True
hsa-mir-6744,18.50759194130041,2.2509781045715416e-05,True
hsa-mir-643,17.758561212878707,3.265882503621731e-05,True
hsa-mir-615,17.698638138142623,3.364801026425518e-05,True
hsa-mir-3940,17.43430904466934,3.838607584388019e-05,True
hsa-mir-148a,17.169540212918267,4.380943651134147e-05,True
hsa-mir-130a,16.643105889688968,5.700841770046376e-05,True
hsa-mir-142,15.922763895325437,8.184781829716469e-05,True
hsa-let-7g,15.756542813205362,8.899122498173226e-05,True
hsa-mir-132,15.671582569803244,9.288291326026946e-05,True
hsa-mir-511,15.643683156916884,9.419809374293095e-05,True
hsa-mir-4746,15.200591158542792,0.00011780462396555179,True
hsa-mir-155,14.962338057113007,0.00013289125276320774,True
hsa-mir-224,13.73468740671109,0.0002480041512210503,True
hsa-mir-483,13.404227808079883,0.00029362044790700735,True
hsa-mir-488,13.386475235993718,0.0002962991343049115,True
hsa-mir-335,12.961989090567846,0.00036828992619550354,True
hsa-mir-3652,12.916422646709421,0.0003770050028844846,True
hsa-mir-1266,12.841531245757027,0.0003917858557648257,True
hsa-mir-5579,12.68084972260915,0.00042551446060509946,True
hsa-mir-212,12.370728960129698,0.0004991839893058007,True
hsa-mir-22,12.202622537707065,0.0005444036504809417,True
hsa-mir-1468,11.966034619579984,0.0006151888002505304,True
hsa-mir-15a,11.371927699307015,0.0008370925858301965,True
hsa-mir-4772,11.18906852277773,0.0009206202144929894,True
hsa-mir-33a,11.032934303881055,0.0009986257597167716,True
hsa-mir-203b,10.905777243614606,0.0010671015058408445,True
hsa-mir-934,10.89449730191076,0.001073401987939555,True
hsa-mir-676,10.810659929968836,0.001121431593451535,True
hsa-mir-452,10.58500254021261,0.0012618677859654386,True
hsa-mir-296,10.400729188602893,0.0013897531676144703,True
hsa-mir-26b,10.369133178512831,0.0014129714941397854,True
hsa-mir-561,10.104518444479591,0.0016236164390795967,True
hsa-mir-628,10.031668596184915,0.0016870408729851528,True
hsa-mir-16,9.977398313925628,0.0017359259953532305,True
hsa-mir-2116,9.937064580408236,0.0017731906509462951,True
hsa-mir-4652,9.772900373754245,0.0019334736903478787,True
hsa-mir-1287,9.760175577437488,0.0019464983627013415,True
hsa-let-7i,9.750612274985686,0.0019563458857518963,True
hsa-mir-1283,9.644151689772126,0.002069462711147699,True
hsa-mir-1269a,9.387372244265853,0.0023705604355789135,True
hsa-mir-4677,8.643488984235207,0.003521285679058391,True
hsa-mir-1262,8.526614398513322,0.0037483216060105505,True
hsa-mir-3136,8.521016655193938,0.003759563971371145,True
hsa-mir-215,8.48288899165491,0.003837061770103871,True
hsa-mir-548j,8.096243627507624,0.004721703196819884,True
hsa-mir-150,7.955347336544641,0.005093817917708785,True
hsa-mir-579,7.859324548350731,0.005364523521170686,True
hsa-mir-624,7.81454536065037,0.005495763752814077,True
hsa-mir-122,7.592102966564603,0.006198236033099964,True
hsa-mir-6509,7.574012077193212,0.0062592728775464745,True
hsa-mir-9,7.54992551381843,0.006341497269520371,True
hsa-mir-125a,7.532729445824186,0.006400877165675293,True
hsa-mir-4728,7.524363928700478,0.006429970267968568,True
hsa-mir-383,7.420921445980656,0.006801141904918295,True
hsa-mir-520b,7.332167609821476,0.007137123442035159,True
hsa-mir-935,7.272020735230325,0.007374464546946729,True
hsa-mir-3170,7.252705203765411,0.007452392674323639,True
hsa-mir-598,7.17514372685436,0.007773934700610995,True
hsa-mir-491,7.161982577314394,0.007829895592424144,True
hsa-mir-330,7.13565087634811,0.007943104062615532,True
hsa-mir-590,7.096235157390843,0.0081157196502695,True
hsa-mir-423,7.042511132594938,0.008357230659786462,True
hsa-mir-3616,6.936125224206992,0.008857540303182187,True
hsa-mir-548s,6.907363116915463,0.008998025021166837,True
hsa-mir-140,6.783852910870144,0.009627871106388708,True
hsa-mir-548t,6.760880302860232,0.009749941717800435,True
hsa-mir-105,6.760563546518973,0.009751635980111114,True
hsa-mir-206,6.7457904580463515,0.00983099200502166,True
hsa-mir-522,6.713930658889899,0.01000440498436384,True
hsa-mir-103a,6.585032716693464,0.010738814000618435,True
hsa-mir-181d,6.581920303346729,0.01075721924635273,True
hsa-mir-3131,6.574422358443642,0.010801692023660896,True
hsa-mir-5696,6.567986051874765,0.010840019110854691,True
hsa-mir-1305,6.549222857353631,0.010952553147901771,True
hsa-mir-6516,6.527989411928806,0.011081357374549372,True
