feature,f_score,p_value,selected
ENSG00000178567.8,260.3873032501894,2.8220503654623462e-43,True
ENSG00000076242.16,257.3897067898663,6.482674412829314e-43,True
ENSG00000184719.12,127.8366623804627,3.6542473622002387e-25,True
ENSG00000231503.4,109.02018363978532,3.717052966677641e-22,True
ENSG00000162639.16,102.3192817215286,4.722776468598554e-21,True
ENSG00000273305.1,92.36739898930499,2.22771394404713e-19,True
ENSG00000145908.12,83.82151695770092,6.5935718597358556e-18,True
ENSG00000187566.6,77.7666761054381,7.612238407996639e-17,True
ENSG00000272913.1,77.30430725539006,9.190584640741472e-17,True
ENSG00000198134.3,76.7139512932146,1.1694251220125475e-16,True
ENSG00000130005.13,76.06431382580757,1.5251047352213403e-16,True
ENSG00000154760.14,73.91673645856797,3.6811879808278364e-16,True
ENSG00000116014.10,72.78214586287815,5.875790870617408e-16,True
ENSG00000243181.2,72.17744302876109,7.543229140818911e-16,True
ENSG00000243943.10,71.42827480738065,1.0285269360723948e-15,True
ENSG00000229689.3,70.8824951836731,1.2897043242292356e-15,True
ENSG00000223298.1,69.03990340636281,2.7756400470957023e-15,True
ENSG00000179101.5,67.65225442080065,4.956440520170322e-15,True
ENSG00000275074.2,66.7505821481735,7.232883144455882e-15,True
ENSG00000104953.20,64.89511096171638,1.579026346741435e-14,True
ENSG00000184867.14,64.20196553205932,2.1159865612915503e-14,True
ENSG00000267508.6,62.933816095261385,3.62025468792156e-14,True
ENSG00000197935.7,61.27900809281835,7.317198206821609e-14,True
ENSG00000250486.5,61.25255393384906,7.400176235742006e-14,True
ENSG00000178458.5,61.003301309680666,8.230049225884483e-14,True
ENSG00000243479.3,60.95432471966998,8.403816146020363e-14,True
ENSG00000232229.6,58.96260167283891,1.970513550763009e-13,True
ENSG00000115970.18,58.73284290488147,2.174756899597473e-13,True
ENSG00000182983.15,57.74027078679859,3.332530162931991e-13,True
ENSG00000075234.17,57.02445057758535,4.5371993587903233e-13,True
ENSG00000264575.1,56.696013349017306,5.228427957203286e-13,True
ENSG00000162241.12,55.322359640583,9.47508842724676e-13,True
ENSG00000182648.13,54.49530326977505,1.3569258321200651e-12,True
ENSG00000178951.9,54.296077003158764,1.4797391212192107e-12,True
ENSG00000102981.10,54.25755737163199,1.5047458875235384e-12,True
ENSG00000236431.1,54.148759224871256,1.5776995981646458e-12,True
ENSG00000099256.19,53.735872383556114,1.888488237475543e-12,True
ENSG00000184860.10,53.63641364343856,1.9721479491838327e-12,True
ENSG00000278071.1,53.17347904630585,2.4134372815571337e-12,True
ENSG00000197355.11,53.144060046489805,2.4446300972836014e-12,True
ENSG00000227124.11,52.78789177647294,2.856098969786396e-12,True
ENSG00000180787.6,52.40479079393716,3.3769373281141234e-12,True
ENSG00000183837.9,52.24613792471971,3.6197229580456525e-12,True
ENSG00000176293.20,51.81952408281443,4.3634095714074856e-12,True
ENSG00000277406.2,51.64878821790718,4.702543198992861e-12,True
ENSG00000182247.10,51.265672940987656,5.563349429059968e-12,True
ENSG00000124440.16,51.079863337276095,6.0363362194949555e-12,True
ENSG00000214941.8,50.79595471643148,6.838461367741765e-12,True
ENSG00000163584.18,50.69257403931264,7.1564990550563e-12,True
ENSG00000137767.14,50.57800524005325,7.526389138124415e-12,True
ENSG00000166199.13,50.1530603428388,9.074667947419932e-12,True
ENSG00000262823.1,49.80948631379842,1.0558326083834878e-11,True
ENSG00000179715.13,49.541198156081855,1.1884939985552066e-11,True
ENSG00000185290.4,49.41979128672539,1.2539249465023898e-11,True
ENSG00000067445.21,48.59280328692888,1.8073529497814654e-11,True
ENSG00000196544.8,47.971225635691994,2.3803782017824692e-11,True
ENSG00000144868.14,47.844347615657696,2.518187315096761e-11,True
ENSG00000197766.8,47.529834100908,2.8954648267652025e-11,True
ENSG00000228251.1,47.42464614689724,3.033955116186498e-11,True
ENSG00000198718.13,47.2584260412001,3.266530869451778e-11,True
ENSG00000267493.4,47.23566960348929,3.2997395664847e-11,True
ENSG00000147889.18,47.02113754584275,3.630013702998941e-11,True
ENSG00000224843.8,46.876144884858725,3.8718968674605683e-11,True
ENSG00000186603.6,46.73594190027843,4.1212214720436726e-11,True
ENSG00000186193.9,46.56945890405937,4.438372301206771e-11,True
ENSG00000267778.1,46.25558204719273,5.104736403580179e-11,True
ENSG00000102409.10,46.04429300205265,5.6092049247397815e-11,True
ENSG00000254854.1,45.73648201579229,6.435393040924194e-11,True
ENSG00000180190.12,45.66812751165566,6.634901896290287e-11,True
ENSG00000149256.16,45.49781637474225,7.159521643433882e-11,True
ENSG00000137880.6,44.95989973275061,9.107225903893782e-11,True
ENSG00000253982.2,44.89030876464595,9.395475150940983e-11,True
ENSG00000169122.11,44.52969041308329,1.1043140963159071e-10,True
ENSG00000104976.12,44.51172992982184,1.1132423419852363e-10,True
ENSG00000163689.20,44.252599608454005,1.250453547732283e-10,True
ENSG00000099875.15,44.12666969645638,1.3231634046160555e-10,True
ENSG00000206535.8,44.062822123495174,1.3616398860243484e-10,True
ENSG00000183873.18,43.75104654904308,1.5663466739122703e-10,True
ENSG00000263753.8,43.54423949133633,1.7189705073999744e-10,True
ENSG00000197128.12,43.5260147027745,1.7331184043825778e-10,True
ENSG00000185088.14,43.465123198168605,1.781244587588301e-10,True
ENSG00000151090.20,43.37639588503354,1.8537914175645925e-10,True
ENSG00000173141.5,43.31379672890839,1.9067586490001417e-10,True
ENSG00000099625.13,43.182266271451546,2.023070917004987e-10,True
ENSG00000148057.16,43.127202553941885,2.0738617632475112e-10,True
ENSG00000161920.11,43.00932902068288,2.186948416969805e-10,True
ENSG00000228223.3,42.882383140638595,2.3156977822019222e-10,True
ENSG00000105327.18,42.80679405704861,2.3959598696384463e-10,True
ENSG00000064961.19,42.73332257574203,2.4766585010377e-10,True
ENSG00000125912.11,42.480425121739856,2.7759568427567853e-10,True
ENSG00000221843.4,42.40002557987009,2.8785434105772535e-10,True
ENSG00000130675.15,42.34140251104906,2.9557438330048747e-10,True
ENSG00000101282.9,41.74979202429426,3.861756228399933e-10,True
ENSG00000101489.20,41.368064545634006,4.5901589406196126e-10,True
ENSG00000277831.1,41.33496712374998,4.659493381557033e-10,True
ENSG00000170786.12,41.3206791183558,4.689749831726537e-10,True
ENSG00000133134.12,41.271277472849825,4.795896693491142e-10,True
ENSG00000010361.14,41.22657495783884,4.894031225548746e-10,True
ENSG00000180938.6,41.189669408465186,4.97657185897988e-10,True
ENSG00000125657.5,41.16460660544347,5.033423859172028e-10,True
ENSG00000166452.12,41.156350824364594,5.052294002630136e-10,True
ENSG00000118961.15,41.07478892284988,5.24259209396408e-10,True
ENSG00000211796.1,41.034092548669136,5.34022750267218e-10,True
ENSG00000178460.18,40.9319615258299,5.593395647626055e-10,True
ENSG00000123405.14,40.872579482460566,5.746118508163055e-10,True
ENSG00000117676.14,40.642599576862004,6.378305350865956e-10,True
ENSG00000183486.13,40.60025951102496,6.502114400490939e-10,True
ENSG00000172081.14,40.577776639632475,6.568839023665084e-10,True
ENSG00000176393.11,40.50761249130846,6.781540082966159e-10,True
ENSG00000100767.17,40.225608707630236,7.708776205565423e-10,True
ENSG00000223658.8,40.20335644779946,7.787165961010112e-10,True
