feature,class_CNV_HIGH,class_CNV_LOW,class_MSI,class_POLE,mean_importance
PPP4R4 (R),0.08072303415133365,0.6451308569942843,0.15461153519487278,0.5697990180771499,0.36256611110441017
MSH4 (R),0.26417771846343807,0.3150282474637062,0.47876672011505245,0.3499830973422594,0.35198894584611407
MLH1 (R),0.15068161639071376,0.39001836091333825,0.6554790963703326,0.204695054475293,0.3502185320374194
EPM2AIP1 (R),0.35979350226913714,0.22205089156437494,0.7137573513302055,0.09586417194867705,0.3478664792780986
hsa-mir-378a (M),0.5042610223763082,0.4577703611668898,0.10525006351824014,0.18491721444627524,0.3130496653769283
MED14OS (R),0.18852523812208677,0.6524333380131594,0.21271595452111866,0.16642137905638948,0.3050239774281886
RPS18P9 (R),0.28497675503633363,0.053093540449041736,0.3222407024005548,0.5535719253794855,0.3034707308163539
LYG1 (R),0.0940114464661242,0.410682972318507,0.4789502485599325,0.1851201026571737,0.29219119250043435
CYP8B1 (D),0.19078547164717052,0.09486958282385437,0.3008590313984341,0.5730977853431118,0.28990296780314273
AC009237.3 (R),0.5400719951612794,0.31072696246955556,0.2523155119085696,0.05120971036480564,0.2885810449760525
AC245407.1 (R),0.22916900509691115,0.33735646386039975,0.47580081018181647,0.10669964132605864,0.2872564801162965
RENO1 (R),0.3164353190981269,0.28091456679867144,0.45879131595473077,0.08360645060015649,0.2849369131129214
AC131159.2 (R),0.3513271234562767,0.1390821915853244,0.048487791254128984,0.551669328658088,0.27264160873845456
hsa-mir-490 (M),0.30721703978595866,0.3576176538462774,0.1788364350688107,0.229667876869412,0.2683347513926147
RPS27L (R),0.5196359002389176,0.2507667130280646,0.09899260611170387,0.20237454224770984,0.267942440406599
CDKN2A (R),0.5777042964309571,0.1365489582593398,0.14410253977821905,0.21176865481972776,0.26753111232206095
PAX9 (D),0.23971569595334297,0.31726680060257734,0.2523374600331745,0.25918340868499107,0.26712584131852146
hsa-mir-934 (M),0.4427455817131398,0.07321712933900765,0.14340097112590497,0.3949768258137022,0.2635851269979387
IGSF9B (D),0.4693083781280538,0.3811260217013675,0.1362985920278945,0.06698855226686289,0.2634303860310447
FGD2 (D),0.4663619760182059,0.36153942640220266,0.15940825901064454,0.061370915210145975,0.26217014416029977
FMO1 (R),0.2549252038413481,0.14782901818144492,0.4534816546921372,0.17945544125442045,0.25892282949233764
CHRNB1 (D),0.20227215568654391,0.20385399103862015,0.4645739954326481,0.1598470857494215,0.2576368069768084
CUZD1 (D),0.20808134398237102,0.39154220072425033,0.11947644347970808,0.30444670549434744,0.25588667342016924
CPXM1 (D),0.2733264998972517,0.07577246033330333,0.4800509732804875,0.17422490247909028,0.2508437089975332
HTR1D (D),0.11610420288032512,0.2724101385488714,0.27528629176566677,0.3324444387864379,0.24906126799532533
hsa-mir-26b (M),0.3819461787502098,0.09840217281230049,0.3441152053732127,0.1674772166356388,0.24798519339284048
hsa-mir-548o (M),0.23372833749411595,0.07438168255343153,0.484720105049364,0.1922298969761305,0.2462650055182605
AL590139.1 (R),0.06957889190708852,0.1301219763965275,0.47759548632846893,0.2982433669277977,0.24388493038997067
CD5L (D),0.30372190310547237,0.38436710490267156,0.13755119946343008,0.14658243415006741,0.24305566040541035
CD8B2 (R),0.39990866962745414,0.4424816687447465,0.06555941033076457,0.0547002402690693,0.24066249724300864
SLC16A4 (D),0.2431857053648525,0.2797771406847511,0.36621007121916876,0.07025979026880622,0.23985817688439465
LOC285370 (D),0.46696547842554087,0.33720895790443506,0.1137190657917261,0.04055053654037904,0.23961100966552024
AC009237.15 (R),0.45069634435132105,0.14496497328999208,0.30342868091568975,0.05918218728913058,0.23956804646153337
FILIP1 (D),0.2747525344769021,0.20390781174844425,0.05328794160326614,0.4213316700872426,0.23831998947896377
hsa-mir-155 (M),0.06046901085425696,0.38608712324869093,0.13721907460828067,0.36020430925634506,0.2359948794918934
AC079834.2 (R),0.04656228132605618,0.4344103950591775,0.31895601398393464,0.12151311488737866,0.23036045131413674
PTMAP4 (R),0.24167524311272667,0.08084578591986234,0.44063570795433304,0.15801604075881484,0.23029319443643423
ST18 (D),0.3734720877308078,0.4056067039019161,0.04991461940325015,0.08385112941368064,0.2282111351124137
hsa-mir-1266 (M),0.3291043108694334,0.09500364551221217,0.15921683479638676,0.328826734116254,0.2280378813235716
KISS1R (R),0.49048780891249844,0.059105225073550385,0.1318032582833586,0.2260332093486123,0.22685737540450493
hsa-mir-548j (M),0.3054206890349707,0.1195734969642359,0.06450993076610337,0.4163274005227649,0.22645787932201872
hsa-mir-140 (M),0.18916044791231418,0.11166186293016134,0.3473938404449062,0.24233005634036348,0.22263655190693626
JSRP1 (R),0.09888193350282948,0.08600356025194252,0.4569685094668554,0.24556730181713535,0.22185532625969068
hsa-mir-624 (M),0.16823964881793785,0.21631492069662675,0.20084321098914612,0.3010382063365329,0.2216089967100609
ZFP106 (D),0.10036352001170365,0.26898425072570775,0.09042417254263817,0.42062484349971213,0.22009919669494044
hsa-mir-320d (M),0.39812560105405004,0.06565087571767061,0.2664933046876178,0.14951675086394506,0.21994663308082085
hsa-mir-139 (M),0.12957162226857996,0.24476438756908112,0.06299372826571854,0.4395695496578911,0.21922482194031767
hsa-mir-23b (M),0.1886028890387183,0.4056307803485518,0.07155110505629494,0.20994525728007798,0.21893250793091074
UBE2E2 (R),0.285591896358812,0.22269663690247737,0.23845330236748755,0.11590865932587516,0.21566262373866302
ZNF366 (D),0.05992310559167637,0.18099363519797265,0.2366728034949903,0.3837022114847435,0.21532293894234572
hsa-mir-5010 (M),0.16271528274479588,0.37811409479252817,0.2692934677103796,0.03859184098776299,0.21217867155886666
hsa-mir-27b (M),0.17026077133914616,0.2576789004454886,0.1777918742125826,0.2340237295987019,0.2099388188989798
ZNF217 (D),0.2506257007796265,0.09124598041401438,0.19643627995009705,0.30032745074349737,0.2096588529718088
AL355312.3 (R),0.21574864110279943,0.36642652022974104,0.04671115308412676,0.20678037162767218,0.20891667151108484
HIST1H2AI (D),0.14773200475737144,0.10063115184533468,0.26451556074896343,0.3072681326254378,0.20503671249427685
LILRA1 (D),0.06919997646908585,0.043956521212102265,0.35605462995032533,0.349188916229844,0.20460001096533936
hsa-mir-3074 (M),0.36353332833248875,0.17532391520102406,0.04719686231669506,0.2276142756918905,0.2034170953855246
MSL3L2 (D),0.27133042592120044,0.1115876392477154,0.241463456527709,0.17774216470823392,0.2005309216012147
hsa-mir-659 (M),0.1610282322128382,0.20171002911242303,0.04163517190925032,0.39058496890023314,0.19873960053368617
RPL22P24 (R),0.083653348024628,0.2287419575055002,0.271564656468857,0.20673284518789853,0.19767320179672093
H3FC (R),0.21546992482687696,0.05400151199957206,0.4553262364853349,0.06370958004334017,0.19712681333878102
AL161669.3 (R),0.334397171604419,0.08522335994611939,0.31083516442193543,0.05306618041382287,0.19588046909657417
GPR150 (D),0.07407735246209074,0.18452169947014957,0.26166491377534784,0.2527079223527867,0.19324297201509372
hsa-mir-6744 (M),0.10449313832386098,0.07462702444416414,0.4116692964392171,0.1749314329555566,0.1914302230406997
PABPC4L (D),0.08385951114358646,0.263091400065354,0.3558190230031884,0.050379692806099455,0.18828740675455707
hsa-mir-33a (M),0.24019254683417468,0.41008059822102494,0.06065375831141956,0.041495634200959364,0.18810563439189465
RAP2CP1 (R),0.11895117522193936,0.050061058912100914,0.32952163815318164,0.24583997427270624,0.18609346163998203
AC023157.3 (R),0.1577417518660642,0.16772545606851455,0.24668387394695618,0.17107860121351845,0.18580742077376336
ROBO1 (D),0.24343045258334112,0.10778676178238475,0.31971262398973843,0.06782054704506338,0.1846875963501319
C2CD4B (R),0.1775361829483882,0.38771169070635286,0.04310172463699369,0.1196915834851039,0.18201029544420966
EXO5 (R),0.0413494817286276,0.17070618480406508,0.2824467363773642,0.22698293743744016,0.18037133508687425
hsa-mir-197 (M),0.24556969434597378,0.29362296105830477,0.06001949357931224,0.1154714576547132,0.178670901659576
IL1RL2 (R),0.27368358899034245,0.10354549457663065,0.09065642619863543,0.2442250139953744,0.17802763094024573
hsa-mir-1287 (M),0.13281776432805556,0.12249403399342773,0.26278450959949423,0.19251217334339357,0.17765212031609276
RARA (D),0.048014000169031956,0.36419653895637477,0.053218405106310804,0.2367602556448748,0.17554729996914809
TMEM63C (R),0.29302049892428034,0.23083029211235548,0.1183170725308574,0.05582217400785927,0.17449750939383812
RNU6-1069P (R),0.21944938253976373,0.18946057490718987,0.14279953266199136,0.13145617850162278,0.17079141715264196
hsa-mir-425 (M),0.23254494654868826,0.09250873549133494,0.04221203703927014,0.3126667545109183,0.16998311839755292
hsa-mir-1468 (M),0.25577524248837014,0.29370014367681296,0.041682796456954004,0.08356165731784385,0.16867995998499524
hsa-mir-205 (M),0.04495504483730346,0.3361508730511488,0.08913744382008007,0.20187577733259887,0.1680297847602828
KCNK2 (D),0.1161705280443766,0.04522639264550349,0.2621919258910668,0.23673328375869698,0.16508053258491098
HENMT1 (R),0.23338868260878515,0.2191972458957291,0.1315995639546695,0.06674531739191081,0.16273270246277363
hsa-mir-223 (M),0.0944361862817302,0.20254178278159865,0.14129744003030778,0.20676869251339436,0.16126102540175774
