feature,mean_importance
MLH1 (R),0.9964549875259856
C3orf63 (D),0.9568531494217902
PTMAP4 (R),0.7431439710516563
AC245407.1 (R),0.705036767832122
RNLS (R),0.5251440460547931
KDM2B (D),0.4851624463249629
HIST1H2BI (D),0.47787143653237923
CHRNB1 (D),0.30876822125747583
SEC31B (D),0.29876871520150844
HENMT1 (R),0.27943124479830905
MSH4 (R),0.2745653423229417
LYG1 (R),0.2636803784438103
PCP4L1 (D),0.25825693994576093
RPL22P24 (R),0.2560836519128966
EPM2AIP1 (R),0.2541038944903706
GAMT (R),0.22438996865218136
hsa-mir-1294 (M),0.22386966834126026
hsa-mir-132 (M),0.21544511929730695
AC007537.1 (R),0.2146904584720712
C10orf99 (D),0.19643909053397515
RPL22L1 (R),0.16668053286373702
hsa-mir-3913 (M),0.13692200637205815
AC010975.1 (R),0.13582238876237762
AC087343.1 (R),0.10892932692611829
hsa-mir-708 (M),0.1049769947488359
hsa-mir-26b (M),0.09046904858536005
NPHS1 (D),0.09028824430553813
TNFAIP8L3 (D),0.081527523592179
hsa-mir-1305 (M),0.08147921362182926
AL590139.1 (R),0.06590942034041417
COL3A1 (D),0.05924350605823452
KCNK2 (D),0.054583580370503725
hsa-mir-210 (M),0.05268872874604518
PRSS3 (D),0.048872545785224444
hsa-mir-4787 (M),0.046108402200734776
ABCB11 (D),0.04240066790178714
H3F3AP6 (R),0.04080150785819066
C4orf37 (D),0.03898033478578528
hsa-mir-1296 (M),0.03868287983069216
C21orf54 (D),0.03567206225201192
hsa-mir-5696 (M),0.03286297817161251
hsa-mir-520b (M),0.030565012965240744
hsa-mir-155 (M),0.028056185422626577
PCDH20 (D),0.027673387164987722
CNTN5 (R),0.02619923515402074
RIOX1 (R),0.022961656954001153
H2AFJ (R),0.021608868483822843
C2CD4B (R),0.019372170859818703
hsa-mir-3609 (M),0.017355435795685523
hsa-mir-375 (M),0.007028523582854478
hsa-mir-4652 (M),0.006864780266861442
hsa-mir-31 (M),0.006684641197120942
hsa-mir-452 (M),0.004859767372968907
C2orf78 (D),0.004205939919401948
hsa-mir-1910 (M),0.0
hsa-mir-2276 (M),0.0
hsa-mir-7974 (M),0.0
HOXA10 (D),0.0
HIST1H3E (D),0.0
HOXB13 (D),0.0
